model,family,metric_name,block,reading_bin,reading_phase,raw_spearman_rho,length_controlled_spearman_rho,n_programs,status
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,9,late,-0.3585043988269794,-0.0608504398826979,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,10,late,-0.4351173020527858,-0.0828445747800586,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,11,late,-0.4776392961876832,-0.2628299120234604,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,0,early,-0.0839442815249266,0.3310117302052786,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,1,early,-0.4028592375366568,0.0058651026392961,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,2,early,-0.4255865102639296,-0.1019061583577712,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,3,early,-0.3321114369501466,0.0608504398826979,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,4,middle,-0.4464809384164222,-0.1792521994134897,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,5,middle,-0.3552052785923753,-0.0626832844574779,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,6,middle,-0.2360703812316715,0.0905425219941348,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,7,middle,-0.2983870967741935,-0.0458211143695014,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,8,late,-0.2851906158357771,0.0164956011730205,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,9,late,-0.1367302052785923,0.2404692082111436,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,10,late,-0.3636363636363636,-0.001466275659824,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,12,11,late,-0.2939882697947213,0.0454545454545454,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,0,early,-0.1004398826979472,-0.126099706744868,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,1,early,-0.2151759530791788,-0.1063049853372434,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,2,early,-0.0432551319648093,0.0623167155425219,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,3,early,-0.2118768328445747,-0.1041055718475073,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,4,middle,-0.0476539589442815,0.063782991202346,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,5,middle,-0.0656158357771261,-0.0571847507331378,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,6,middle,-0.1092375366568914,-0.0843108504398826,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,7,middle,-0.12683284457478,-0.0817448680351906,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,8,late,0.0571847507331378,0.189882697947214,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,9,late,-0.0898093841642228,-0.0238269794721407,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,10,late,-0.2225073313782991,-0.0403225806451612,32,available
